customer_id,home_store,customer_name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year
1,3,Kelly Key,Venus@adipiscing.edu,1/4/2017,908-424-2890,5/29/1950,M,1950
2,3,Clark Schroeder,Nora@fames.gov,1/7/2017,032-732-6308,7/30/1950,M,1950
3,3,Elvis Cardenas,Brianna@tellus.edu,1/10/2017,459-375-9187,9/30/1950,M,1950
4,3,Rafael Estes,Ina@non.gov,1/13/2017,576-640-9226,12/1/1950,M,1950
5,3,Colin Lynn,Dale@Integer.com,1/15/2017,344-674-6569,2/1/1951,M,1951
6,3,Igor Beach,Caleb@morbi.net,1/18/2017,114-126-1992,4/4/1951,M,1951
7,3,Scott Holden,Yen@Integer.edu,1/21/2017,384-074-3606,6/5/1951,M,1951
8,3,Keegan Ayala,Tana@sociis.com,1/24/2017,257-308-7675,8/7/1951,M,1951
9,3,Amir Byers,Madeson@malesuada.us,1/26/2017,931-925-0273,10/8/1951,M,1951
10,3,Magee Malone,Anjolie@sapien.gov,1/29/2017,359-150-6747,12/9/1951,M,1951
11,3,Dolan Petty,Kim@convallis.edu,2/1/2017,547-881-4488,2/9/1952,M,1952
12,3,Wang Hebert,Hollee@lorem.net,2/4/2017,605-014-6218,4/11/1952,M,1952
13,3,Wayne David,Slade@sapien.edu,2/6/2017,430-935-8698,6/12/1952,M,1952
14,3,Colin Fernandez,Thaddeus@non.com,2/9/2017,703-178-5883,8/13/1952,M,1952
15,3,Holmes Blankenship,Marvin@accumsan.us,2/12/2017,959-439-4036,10/15/1952,M,1952
16,3,Ali French,Uriah@magnis.org,2/15/2017,169-057-5893,12/16/1952,M,1952
17,3,Josiah Burton,Sacha@Nullam.edu,2/17/2017,373-811-5424,2/16/1953,M,1953
18,3,Drew Skinner,Rashad@faucibus.net,2/20/2017,981-655-9539,4/19/1953,M,1953
19,3,Henry Wilcox,Dexter@nisl.gov,2/23/2017,833-172-4578,6/20/1953,M,1953
20,3,Nathan Riggs,Iris@aptent.com,2/26/2017,639-354-7929,8/21/1953,M,1953
21,3,Mufutau Rosa,Haviva@inceptos.gov,2/28/2017,097-053-2704,10/22/1953,M,1953
22,3,Channing Larson,Marny@dis.edu,3/3/2017,238-527-1012,12/23/1953,M,1953
23,3,Raphael Watkins,Libby@libero.com,3/6/2017,865-048-2894,2/24/1954,M,1954
24,3,Avram Cooper,Sandra@adipiscing.org,3/9/2017,411-854-0502,4/27/1954,M,1954
25,3,Drake Valentine,Lewis@eget.edu,3/11/2017,160-817-8375,6/28/1954,M,1954
26,3,Samuel Gallagher,Paloma@ornare.org,3/14/2017,237-244-8752,8/29/1954,M,1954
27,3,Adrian Carlson,Orlando@mattis.org,3/17/2017,975-791-8098,10/30/1954,M,1954
28,3,Harding Jarvis,Cathleen@molestie.org,3/20/2017,423-612-1809,12/31/1954,M,1954
29,3,Jackson Buckley,Phelan@nec.us,3/22/2017,957-710-5308,3/3/1955,M,1955
30,3,Wing Bush,Lee@eget.us,3/25/2017,507-966-0978,5/5/1955,M,1955
31,3,Hedley Dorsey,Paki@amet.us,3/28/2017,295-623-3357,7/6/1955,M,1955
32,3,Griffith Lindsay,Magee@ultricies.gov,3/31/2017,769-005-9211,9/6/1955,M,1955
33,3,Mason Stout,Dennis@vestibulum.us,4/2/2017,030-445-7648,11/7/1955,M,1955
34,3,Murphy Mckee,Hunter@Ut.edu,4/5/2017,264-090-3648,1/8/1956,M,1956
35,3,Colton Ford,Amena@vestibulum.org,4/8/2017,671-939-9911,3/10/1956,M,1956
36,3,Beck Pearson,Leila@penatibus.com,4/11/2017,845-486-0693,5/11/1956,M,1956
37,3,Noble Christensen,Nolan@varius.edu,4/13/2017,758-964-2500,7/12/1956,M,1956
38,3,Xanthus Puckett,Kylynn@aliquam.gov,4/16/2017,436-942-8673,9/13/1956,M,1956
39,3,Hakeem Bowers,Caldwell@placerat.net,4/19/2017,913-873-5817,11/14/1956,M,1956
40,3,Lucas Copeland,Emi@venenatis.edu,4/22/2017,180-267-4872,1/15/1957,M,1957
41,3,Harrison Cash,Uriel@imperdiet.us,4/25/2017,094-153-0253,3/18/1957,M,1957
42,3,Todd Mckay,Colin@Sed.edu,4/27/2017,679-008-0050,5/19/1957,M,1957
43,3,Caldwell Rosales,Julie@nulla.edu,4/30/2017,357-852-2866,7/20/1957,M,1957
44,3,Ciaran Owens,Samantha@taciti.edu,5/3/2017,979-597-2939,9/20/1957,M,1957
